record_id,report_id,object_type,object_id,object_name,enterprise_id,mine_id,year,report_type_code,report_type_name,status,due_date,submitted_at,is_overdue,files,uploaded_by,remark,updated_at
rec_mine_004_reserve_annual_report_2025,report_mine_004_reserve_annual_report,mine,mine_004,西台盐湖矿山,ent_002,mine_004,2025,reserve_annual_report,储量年报,overdue,2025-03-31,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_004_reserve_annual_report_2026,report_mine_004_reserve_annual_report,mine,mine_004,西台盐湖矿山,ent_002,mine_004,2026,reserve_annual_report,储量年报,submitted,2026-03-31,2026-03-21T10:00:00+08:00,False,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2026年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_004/2026/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_005_reserve_annual_report_2024,report_mine_005_reserve_annual_report,mine,mine_005,大柴旦北部盐湖矿山,ent_003,mine_005,2024,reserve_annual_report,储量年报,submitted,2024-03-31,2024-03-20T10:00:00+08:00,False,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2024年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_005/2024/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_005_reserve_annual_report_2025,report_mine_005_reserve_annual_report,mine,mine_005,大柴旦北部盐湖矿山,ent_003,mine_005,2025,reserve_annual_report,储量年报,submitted,2025-03-31,2025-03-20T10:00:00+08:00,False,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2025年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_005/2025/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_005_reserve_annual_report_2026,report_mine_005_reserve_annual_report,mine,mine_005,大柴旦北部盐湖矿山,ent_003,mine_005,2026,reserve_annual_report,储量年报,submitted,2026-03-31,2026-03-20T10:00:00+08:00,False,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2026年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_005/2026/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_006_reserve_annual_report_2024,report_mine_006_reserve_annual_report,mine,mine_006,都兰南部盐湖矿山,ent_003,mine_006,2024,reserve_annual_report,储量年报,overdue,2024-03-31,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_006_reserve_annual_report_2025,report_mine_006_reserve_annual_report,mine,mine_006,都兰南部盐湖矿山,ent_003,mine_006,2025,reserve_annual_report,储量年报,submitted,2025-03-31,2025-03-19T10:00:00+08:00,False,"[{""material_code"": ""reserve_annual_report_01"", ""file_name"": ""2025年度储量年报.pdf"", ""file_url"": ""/mock-files/mine_006/2025/reserve_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_mine_006_reserve_annual_report_2026,report_mine_006_reserve_annual_report,mine,mine_006,都兰南部盐湖矿山,ent_003,mine_006,2026,reserve_annual_report,储量年报,overdue,2026-03-31,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_001_brine_monitoring_annual_report_2024,report_line_001_brine_monitoring_annual_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,2024,brine_monitoring_annual_report,卤水监测年报,submitted,2024-04-30,2024-04-17T10:00:00+08:00,False,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2024年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_001/2024/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_001_brine_monitoring_annual_report_2025,report_line_001_brine_monitoring_annual_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,2025,brine_monitoring_annual_report,卤水监测年报,late_submitted,2025-04-30,2025-05-11T10:00:00+08:00,True,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2025年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_001/2025/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_001_brine_monitoring_annual_report_2026,report_line_001_brine_monitoring_annual_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,2026,brine_monitoring_annual_report,卤水监测年报,submitted,2026-04-30,2026-04-17T10:00:00+08:00,False,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2026年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_001/2026/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_001_annual_development_utilization_report_2024,report_line_001_annual_development_utilization_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,2024,annual_development_utilization_report,年度开发利用报告,submitted,2024-05-31,2024-05-17T10:00:00+08:00,False,"[{""material_code"": ""annual_development_utilization_report_01"", ""file_name"": ""2024年度年度开发利用报告.pdf"", ""file_url"": ""/mock-files/line_001/2024/annual_development_utilization_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_001_annual_development_utilization_report_2025,report_line_001_annual_development_utilization_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,2025,annual_development_utilization_report,年度开发利用报告,submitted,2025-05-31,2025-05-17T10:00:00+08:00,False,"[{""material_code"": ""annual_development_utilization_report_01"", ""file_name"": ""2025年度年度开发利用报告.pdf"", ""file_url"": ""/mock-files/line_001/2025/annual_development_utilization_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_001_annual_development_utilization_report_2026,report_line_001_annual_development_utilization_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,2026,annual_development_utilization_report,年度开发利用报告,late_submitted,2026-05-31,2026-06-12T10:00:00+08:00,True,"[{""material_code"": ""annual_development_utilization_report_01"", ""file_name"": ""2026年度年度开发利用报告.pdf"", ""file_url"": ""/mock-files/line_001/2026/annual_development_utilization_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_001_national_condition_survey_report_2024,report_line_001_national_condition_survey_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,2024,national_condition_survey_report,国情调查报告,late_submitted,2024-12-31,2025-01-13T10:00:00+08:00,True,"[{""material_code"": ""national_condition_survey_report_01"", ""file_name"": ""2024年度国情调查报告.pdf"", ""file_url"": ""/mock-files/line_001/2024/national_condition_survey_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_001_national_condition_survey_report_2025,report_line_001_national_condition_survey_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,2025,national_condition_survey_report,国情调查报告,overdue,2025-12-31,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_001_national_condition_survey_report_2026,report_line_001_national_condition_survey_report,production_line,line_001,氯化钾一号生产线,ent_001,mine_001,2026,national_condition_survey_report,国情调查报告,submitted,2026-12-31,2026-12-16T10:00:00+08:00,False,"[{""material_code"": ""national_condition_survey_report_01"", ""file_name"": ""2026年度国情调查报告.pdf"", ""file_url"": ""/mock-files/line_001/2026/national_condition_survey_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_002_brine_monitoring_annual_report_2024,report_line_002_brine_monitoring_annual_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,2024,brine_monitoring_annual_report,卤水监测年报,submitted,2024-04-30,2024-04-14T10:00:00+08:00,False,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2024年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_002/2024/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_002_brine_monitoring_annual_report_2025,report_line_002_brine_monitoring_annual_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,2025,brine_monitoring_annual_report,卤水监测年报,submitted,2025-04-30,2025-04-14T10:00:00+08:00,False,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2025年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_002/2025/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_002_brine_monitoring_annual_report_2026,report_line_002_brine_monitoring_annual_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,2026,brine_monitoring_annual_report,卤水监测年报,submitted,2026-04-30,2026-04-14T10:00:00+08:00,False,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2026年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_002/2026/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_002_annual_development_utilization_report_2024,report_line_002_annual_development_utilization_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,2024,annual_development_utilization_report,年度开发利用报告,overdue,2024-05-31,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_002_annual_development_utilization_report_2025,report_line_002_annual_development_utilization_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,2025,annual_development_utilization_report,年度开发利用报告,submitted,2025-05-31,2025-05-14T10:00:00+08:00,False,"[{""material_code"": ""annual_development_utilization_report_01"", ""file_name"": ""2025年度年度开发利用报告.pdf"", ""file_url"": ""/mock-files/line_002/2025/annual_development_utilization_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_002_annual_development_utilization_report_2026,report_line_002_annual_development_utilization_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,2026,annual_development_utilization_report,年度开发利用报告,overdue,2026-05-31,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_002_national_condition_survey_report_2024,report_line_002_national_condition_survey_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,2024,national_condition_survey_report,国情调查报告,submitted,2024-12-31,2024-12-13T10:00:00+08:00,False,"[{""material_code"": ""national_condition_survey_report_01"", ""file_name"": ""2024年度国情调查报告.pdf"", ""file_url"": ""/mock-files/line_002/2024/national_condition_survey_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_002_national_condition_survey_report_2025,report_line_002_national_condition_survey_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,2025,national_condition_survey_report,国情调查报告,late_submitted,2025-12-31,2026-01-16T10:00:00+08:00,True,"[{""material_code"": ""national_condition_survey_report_01"", ""file_name"": ""2025年度国情调查报告.pdf"", ""file_url"": ""/mock-files/line_002/2025/national_condition_survey_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_002_national_condition_survey_report_2026,report_line_002_national_condition_survey_report,production_line,line_002,氯化钾二号生产线,ent_001,mine_001,2026,national_condition_survey_report,国情调查报告,submitted,2026-12-31,2026-12-13T10:00:00+08:00,False,"[{""material_code"": ""national_condition_survey_report_01"", ""file_name"": ""2026年度国情调查报告.pdf"", ""file_url"": ""/mock-files/line_002/2026/national_condition_survey_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_003_brine_monitoring_annual_report_2024,report_line_003_brine_monitoring_annual_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,2024,brine_monitoring_annual_report,卤水监测年报,submitted,2024-04-30,2024-04-11T10:00:00+08:00,False,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2024年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_003/2024/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_003_brine_monitoring_annual_report_2025,report_line_003_brine_monitoring_annual_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,2025,brine_monitoring_annual_report,卤水监测年报,submitted,2025-04-30,2025-04-11T10:00:00+08:00,False,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2025年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_003/2025/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_003_brine_monitoring_annual_report_2026,report_line_003_brine_monitoring_annual_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,2026,brine_monitoring_annual_report,卤水监测年报,late_submitted,2026-04-30,2026-05-17T10:00:00+08:00,True,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2026年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_003/2026/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_003_annual_development_utilization_report_2024,report_line_003_annual_development_utilization_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,2024,annual_development_utilization_report,年度开发利用报告,late_submitted,2024-05-31,2024-06-18T10:00:00+08:00,True,"[{""material_code"": ""annual_development_utilization_report_01"", ""file_name"": ""2024年度年度开发利用报告.pdf"", ""file_url"": ""/mock-files/line_003/2024/annual_development_utilization_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_003_annual_development_utilization_report_2025,report_line_003_annual_development_utilization_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,2025,annual_development_utilization_report,年度开发利用报告,overdue,2025-05-31,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_003_annual_development_utilization_report_2026,report_line_003_annual_development_utilization_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,2026,annual_development_utilization_report,年度开发利用报告,submitted,2026-05-31,2026-05-11T10:00:00+08:00,False,"[{""material_code"": ""annual_development_utilization_report_01"", ""file_name"": ""2026年度年度开发利用报告.pdf"", ""file_url"": ""/mock-files/line_003/2026/annual_development_utilization_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_003_national_condition_survey_report_2024,report_line_003_national_condition_survey_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,2024,national_condition_survey_report,国情调查报告,submitted,2024-12-31,2024-12-10T10:00:00+08:00,False,"[{""material_code"": ""national_condition_survey_report_01"", ""file_name"": ""2024年度国情调查报告.pdf"", ""file_url"": ""/mock-files/line_003/2024/national_condition_survey_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_003_national_condition_survey_report_2025,report_line_003_national_condition_survey_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,2025,national_condition_survey_report,国情调查报告,submitted,2025-12-31,2025-12-10T10:00:00+08:00,False,"[{""material_code"": ""national_condition_survey_report_01"", ""file_name"": ""2025年度国情调查报告.pdf"", ""file_url"": ""/mock-files/line_003/2025/national_condition_survey_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_003_national_condition_survey_report_2026,report_line_003_national_condition_survey_report,production_line,line_003,碳酸锂示范生产线,ent_001,mine_001,2026,national_condition_survey_report,国情调查报告,submitted,2026-12-31,2026-12-10T10:00:00+08:00,False,"[{""material_code"": ""national_condition_survey_report_01"", ""file_name"": ""2026年度国情调查报告.pdf"", ""file_url"": ""/mock-files/line_003/2026/national_condition_survey_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_004_brine_monitoring_annual_report_2024,report_line_004_brine_monitoring_annual_report,production_line,line_004,氯化镁生产线,ent_001,mine_002,2024,brine_monitoring_annual_report,卤水监测年报,overdue,2024-04-30,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_004_brine_monitoring_annual_report_2025,report_line_004_brine_monitoring_annual_report,production_line,line_004,氯化镁生产线,ent_001,mine_002,2025,brine_monitoring_annual_report,卤水监测年报,submitted,2025-04-30,2025-04-08T10:00:00+08:00,False,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2025年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_004/2025/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_004_brine_monitoring_annual_report_2026,report_line_004_brine_monitoring_annual_report,production_line,line_004,氯化镁生产线,ent_001,mine_002,2026,brine_monitoring_annual_report,卤水监测年报,overdue,2026-04-30,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_004_annual_development_utilization_report_2024,report_line_004_annual_development_utilization_report,production_line,line_004,氯化镁生产线,ent_001,mine_002,2024,annual_development_utilization_report,年度开发利用报告,submitted,2024-05-31,2024-05-08T10:00:00+08:00,False,"[{""material_code"": ""annual_development_utilization_report_01"", ""file_name"": ""2024年度年度开发利用报告.pdf"", ""file_url"": ""/mock-files/line_004/2024/annual_development_utilization_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_004_annual_development_utilization_report_2025,report_line_004_annual_development_utilization_report,production_line,line_004,氯化镁生产线,ent_001,mine_002,2025,annual_development_utilization_report,年度开发利用报告,late_submitted,2025-05-31,2025-06-21T10:00:00+08:00,True,"[{""material_code"": ""annual_development_utilization_report_01"", ""file_name"": ""2025年度年度开发利用报告.pdf"", ""file_url"": ""/mock-files/line_004/2025/annual_development_utilization_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_004_annual_development_utilization_report_2026,report_line_004_annual_development_utilization_report,production_line,line_004,氯化镁生产线,ent_001,mine_002,2026,annual_development_utilization_report,年度开发利用报告,submitted,2026-05-31,2026-05-08T10:00:00+08:00,False,"[{""material_code"": ""annual_development_utilization_report_01"", ""file_name"": ""2026年度年度开发利用报告.pdf"", ""file_url"": ""/mock-files/line_004/2026/annual_development_utilization_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_004_national_condition_survey_report_2024,report_line_004_national_condition_survey_report,production_line,line_004,氯化镁生产线,ent_001,mine_002,2024,national_condition_survey_report,国情调查报告,submitted,2024-12-31,2024-12-07T10:00:00+08:00,False,"[{""material_code"": ""national_condition_survey_report_01"", ""file_name"": ""2024年度国情调查报告.pdf"", ""file_url"": ""/mock-files/line_004/2024/national_condition_survey_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_004_national_condition_survey_report_2025,report_line_004_national_condition_survey_report,production_line,line_004,氯化镁生产线,ent_001,mine_002,2025,national_condition_survey_report,国情调查报告,submitted,2025-12-31,2025-12-07T10:00:00+08:00,False,"[{""material_code"": ""national_condition_survey_report_01"", ""file_name"": ""2025年度国情调查报告.pdf"", ""file_url"": ""/mock-files/line_004/2025/national_condition_survey_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_004_national_condition_survey_report_2026,report_line_004_national_condition_survey_report,production_line,line_004,氯化镁生产线,ent_001,mine_002,2026,national_condition_survey_report,国情调查报告,not_submitted,2026-12-31,,False,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_005_brine_monitoring_annual_report_2024,report_line_005_brine_monitoring_annual_report,production_line,line_005,硼酸生产线,ent_001,mine_002,2024,brine_monitoring_annual_report,卤水监测年报,late_submitted,2024-04-30,2024-05-23T10:00:00+08:00,True,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2024年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_005/2024/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_005_brine_monitoring_annual_report_2025,report_line_005_brine_monitoring_annual_report,production_line,line_005,硼酸生产线,ent_001,mine_002,2025,brine_monitoring_annual_report,卤水监测年报,overdue,2025-04-30,,True,[],,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
rec_line_005_brine_monitoring_annual_report_2026,report_line_005_brine_monitoring_annual_report,production_line,line_005,硼酸生产线,ent_001,mine_002,2026,brine_monitoring_annual_report,卤水监测年报,submitted,2026-04-30,2026-04-05T10:00:00+08:00,False,"[{""material_code"": ""brine_monitoring_annual_report_01"", ""file_name"": ""2026年度卤水监测年报.pdf"", ""file_url"": ""/mock-files/line_005/2026/brine_monitoring_annual_report.pdf""}]",测试用户,虚拟测试数据；截止日期仅用于AI产品联调，不代表真实监管要求,2026-09-25T00:00:00+08:00
